詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
fa'enot,to molt * lose feathers or hair or fur * as animals do after winter,脫毛如動物(飛禽走獸)冬天過後脫毛換季現象,,,,
fa'i,aunt,螞蟻,,,,
fa'inay,husband,丈夫,O fa'inay ako konini.,This is my husband,這是我的丈夫,
fa'inayan,male,雄的，男的,,,,
,man * men,男人,Safa'ina'inayanen ko faloco' iso.,Be courageous.,你必須勇敢,
fa'owic,to release by gravity * to tip the scales * as when putting a heavy weight on one end of a tetter totter and a lighter one on the other end,彈起來，如蹺蹺板的一端放置重的物體，另一端放輕的東西時彈起來的現象,,,,
fa^loh,new,新的,fa' lohen ko faloco' iso.,Renew your heart / make changes in your attitude.,你的心要改變 / 你的態度需要改變,
,,,Fa'lohay ko loma' ako.,I have a new home.,我的房子是新的/ 我有新房子,
,,,Masafa^loh ko faloco' ako.,My attitude has changed for the better.,我的態度改變得比較好一點,
faca',to wash clothes,洗滌，洗濯衣物,,,,
facacenal,a wasp,黃蜂，胡蜂,,,,
facacido',dragonfly,蜻蜓,,,,
facal,one terraced section of a rice field * one rice paddy,梯田，隔間之意,,,,
,a room of a house,房間,,,,"rawang, riwang"
facfac,to hit * strike * as a child or a water buffalo,打，抽打，如用樹枝抽打小孩或水牛,,,,
facidol,a large tree with large leaves and fruit that is like vegetable when cooked * the fruit of Bread Fruit * Jack Fruit,麵包樹，波羅蜜,,,,
facikcikay,a species of bird * Bush warbler,鳥名，短翅樹鶯,,,,
faco,form * appearance,形式，外觀,,,,
,pattern,模式， 模型，款式，樣本,,,,"laleko, misafaco"
fada'olaw,Wooly-flowered persimmon tree,軟毛柿，花蓮阿美稱 (kamaya),,,,kamaya
fadadico',winged water bugs that fly over the surface of the water (Anax parthenope julius),長有翅膀飛行在水面的水棲昆蟲，青蚨,,,,fadadayaw
fadahong,roof,屋頂,,,,
fadal,a thorny brier plant,有刺蔓藤，荊棘,,,,
fadangalan,upper arm from elbow to shoulder,手臂，從肘到肩膀之間,,,,
fadat,East wind * hot and gentle,東風，熱而溫和,,,,
fadi',withered * with literal and symbolic meanings,枯萎的，含有字面上和象徵性的意義,,,,
fadic,the surface,表面，外表，表皮,,,,
,superficial * as contrasted with a deeper view of something,表面的，如同對事物深一層的思解相比較時的膚淺,O fadic aca ko ma'araway,Only the surface is evident,只看到表皮而已,mifadic
fadihang,echo,回音，反響,,,,wadihang
fadil,carried away by a stream,流木，被水沖走的木頭,,,,likid
fadisaw,hot water,開水,,,,misafadisaw
fadisoso',grapes * grape vines,葡萄,fadisoso' a epah,wine,葡萄酒,"misafadisoso', pisafadisoso'an"
fadito,aluminum,鋁,,,,
fadoc,survivors * people that come out of some catastrophe or war,天災或戰爭中倖存者,,,,
fadokos,boiled sweet potatoes with sugar added * used for a snack,蕃薯湯，地瓜湯,,,,fadokoy
fadowac,ribs,肋骨,,,,
faes,sticky rice bread made from beating cooked glutinous rice with a pestle and molding it.,糯米糕,,,,toron
fafa,to carry a baby tied on one's back,把小孩揹在背上，揹負,,,,
,to piggy back ride,騎在背上,,,,
fafac,a section of bamboo * distance between two joints,竹竿節與節之間的距離,,,,
fafaed,above,上面，上方,o ifafaeday,the things that are above,在上面的(東西),"faled, fkang, pasifafaed"
fafahi,wife,妻子，夫人，太太，內人，女人，雌性,Pafafahien cingra.,Get him a wife.,給他娶妻,
fafahiyan,female,雌性,,,,
,woman * women,女人,,,,masafafahiyananay
fafaod,an edible vegetation * Thadiantha punotata,可食植物名，長赤,,,,fafayoh
fafaw,headwaters * source of a river,"水源, 上游",,,,pasafafaw
,leaders with higher rank,上級(領導階層),,,,
,older * seniors,前輩,,,,
fafayoh,a wooly many-legged worm,毛毛蟲,,,,
fafelin,to turn over when lying down,翻身,,,,misafafafelin
fafikfik,gecko,壁虎,,,,
fafokod,large grasshopper,大蚱蜢 (綠色大型蚱蜢),,,,riri'
,name of an Amis village,台東縣東河村之名,,,,
fafonget,the generic for gnats,蚊蚋,,,,
fafoy,pig,豬,fafoy no lotok,wild boar,山豬,"misafafoy, fafoyan"
,wild boar,山豬,,,,diyong
fafoyan,pigpen,豬欄,,,,fafoy
faha,to cough,咳嗽,,,,"faha', koec"
fahal,strange * unexpected,突然的，出於意外的，料不到的,kafahalan a tamdaw,a stranger,陌生人,
,,,kafahalan a demak,something that came up suddenly without notice * unexpected,意料之外的事情,
,,,Talifahal  ira cingra.,He appeared suddenly * i.e. he appeared from nowhere.,他突然出來,
fahekol,to flip over * throw off * as to be be thrown off a bike,丢棄，遺棄,,,,
fahfah,to drive out * referring usually to evil spirits,驅逐(惡靈)，巫師行為時的用語,,,,
fahka',surprise * amazement,驚訝，驚異,kafahka'an a demak,something amazing * biblical term for a miracle,令人驚奇的事情，聖經上指神蹟,
,,,"paka'araw kako 'i, safahka'  kako.",When I saw it I was amazed.,我看到了以後非常驚訝,
faho,grass used to make thin bed mats,蓆草,,,,siyam
fahol,name of an Amis village,阿美族的地名(馬虎村)光復部落名,,,,Fahol
fail,to wilt * wither,枯萎，凋謝,,,,fadi'
fakar,large round multi-purpose basket * there are several shapes of fakar,大型多用途竹籃,,,,
fakec,to put a belt on,繫腰帶,,,,"faked, safakec, safaked"
fakeciw,to measure * a meter-length measure,測量，量長度的尺具,,,,ditek
faked,Refer to fakec,詳見 fakec,,,,fakec
fakeloh,Refer to fokeloh,詳見 fokeloh,,,,fokeloh
faketaw,instrument used by lumbermen to mark trees(from Amoy dialect),木匠用來正曲直的墨線(引自閩南語),,,,
faki,uncle * the authority figure in the home for giving instructions,叔叔，舅舅，祖父，對年長男人之通稱，能教訓家族的權威人物,,,,fakifaki
fakifaki,the older men who offer counsel,叔叔，舅舅們，對在座參會的長者的敬稱與稱呼,,,,faki
fakong,name of a herb used on broken bones,治骨折用藥草，螫蟹花,,,,
,name of an Amis village,花蓮縣豐濱部落之名,,,,
fala',lungs,肺臟,,,,
fala^fa,lukewarm,微熱的，微溫的 (水),,,,alaf'af
falah,to reject * throw away with literal and figurative meanings,拒絕，丟掉，含字面上與寓意上的丟棄與拋擲的意義,Ana: a mafalah no was kako.,What if God should reject me?,哦，危險！上帝或許會遺棄我,"pifalahan, kinafalah"
falahodik,lizard (Eumeces latiscitatus),蜥蜴,,,,
falahta,a kind of mushroom,蕈的一種(香菇),,,,
falako,hide * dried animal skin used for clothing or other purposes,皮革，用來做衣服暖身或其他目的的獸皮,,,,
falalotong,spider,蜘蛛,,,,felalotong
falangaw,name of an Amis village,台東市馬蘭部落之名,,,,Falangaw
falangfay,to have light increase more and more,光線越來越強，亮光愈來愈大，光度增加,,,,
falat,crossbeam in a house,房子的橫樑，橫放的,,,,
,horizontal * as opposed to vertical,垂直的相對，即水平，橫的,masafalatay a fali,wind blowing straight across from the east,東西向吹的風，橫吹的風,
,,,Pafalaten nira ko loma'.,He put up the crossbeams of the house.,把他橫掛置於房屋上,
falatfat,to twinkle,閃爍，光彩,,,,
,to glitter * blinking lights,燦爛，光輝,,,,
falawfawan,north wind,北風,,,,
fali,wind,風,O fali ko sowal nira.,His words are useless.,他的話沒有用，他的話不中用,
,,,Palafalifali han nira ko sowal ako.,He put to the wind / He didn't listen to what I said.,他把我的話當做耳邊風，他不重視我的話,
,air,空氣,Pafalien ko yofo.,Put air in the inner tube.,把內胎充氣,
falic,to change,更換，交換,Mafafalic kita to tayal.,Let's take turns working.,讓我們互換工作(對調),
,,,Falicen ko riko' iso.,Change your clothes.,請你換衣服,
,,,Falicen ko payso iso.,Change your money.,"請去換你的錢, 去找(換)你的錢吧！",
,to revise,調換，倒轉,,,,
,a biblical term for repentance,聖經上當悔改講,Falicen ko faloco'.,Repent.,要悔改，改變心意,
,to translate,翻譯,Falicen a no'Amis ko sowal.,Translate into Amis.,翻譯成阿美話,
falid,to drift on to the beach * to come to the surface,漂到沙灘上，被水沖上岸,,,,
falidas,a tree,山棕,,,,
falihenaw,fear * panic * as from standing on a precipice,驚恐的感覺，懼高症，如臨深淵的恐懼感,,,,
falinono,a species of rice plant,糯米，水稻的一種,,,,
faliwfiw,Woody Ramie * a tree,大苧麻,,,,"lafiwfiway, farsi'"
,the sound of a gentle breeze,風發出的沙沙聲,,,,
faliyos,typhoon * monsoon winds and rain,颱風,,,,
falo,eight,八,,,,
,seed of a flower or plant,花草的種子,,,,cifalo
faloco',literal physical heart,字面上指生理上或肉體上的心臟,o nga'ayay a faloco' iso,your conscience,你的良心,"kacifaloco'an, pafaloco'an, misafaloco'"
,,,Adada ko faloco' ako.,1. My feelings are hurt.  2. I have heart pain.,1. 我的心受創傷 2. 我有心臟病,
,,,Safa'inayen ko faloco' iso.,Be brave.,你要勇敢，你要像男子漢(對懦弱者鼓勵的話),
,,,'Atkak ko faloco' nira.,His heart is stubborn * resistant.,他的心很硬，他很固執，他很頑固,
,attitudes,態度,Falicen ko faloco' iso.,Change your attitude.,改變你的態度,
,personality,人格,,,,
,soul,靈魂,,,,
,character,性格,,,,
falod,to bind * a bundle,捆綁,,,,safalod
falohang,chest * anatomy of the body,胸部，胸膛,,,,
falotoy,fat on the belly * middle aged spread,腹部肥胖一般中年 人的模樣,,,,
fana',generic term for knowledge * including understanding what is heard,知識之一般用語，智慧，知道，包括聽聞而知的知識,Kafana'an to ko demak nira.,What he does is known.,他的所作所為盡人皆知，他做的行為已經被人知道，東窗事發,"pakafana', pasifana', sifana', misafana', sakafana'ananay"
,,,O mafana'ay cingra.,He is the one who knows the most.,他最聰明，他最瞭解,
,,,o pasifana'ay,teachers,教導者，老師，教練，指導者,
fanani'ol,tadpole * offspring of a frog,蝌蚪，青蛙的幼蟲,,,,
fanaw,lake * pond,湖，水池，池塘,safanaway ko nanom.,Water is collected into a large puddle or pond.,水成為湖，水成澤國,
,to wash articles of any kind (not cloth),衣類外所有盛器的清洗行為,,,,
,name of Amis village,台東縣池上鄉地名,,,,
fanetfet,to be bound by having on too many clothes * unable to move properly,衣服穿太多而行動不方便,,,,
fangad,to uproot * dig out something large that is practically immoveable with literal and figurative meanings,連根拔起，含字面上和喻意上的連根拔起,,,,
fangafang,have a lot to do * be busy * be disturbed * distracted in work,忙，繁忙,,,,
,disturbance,瑣事纏身，被攪亂，被擾亂,,,,
fangas,name of a species of tree * China tree (Chinaberry tree),樹名，苦楝(苦林樹),,,,
fangaw,a bedbug * flying insect,臭蟲,,,,mafangaw
fangcal,very good * fine,好，佳，優,misafangcal to faloco',to make changes in attitude,清心，改變態度(往好的方面)，修身養性,
,,,misafangcal to demak,to do work very well,把事情做好,
,beautiful * very nice,漂亮，美麗，優美,misafangcal to loma',to fix up the home very nice,整修房屋,kapah
,biblical usage - holy,在聖經上指神聖，聖潔等,O safangcalan no was kita.,God cleansed * purified us.,上帝潔淨我們,
,,,palafangcal nira kako.,He made me good.,他把我當作好人,
fanges,skin,皮膚,,,,
fangfang,loose fitting * of clothing,衣服寬緩不緊,,,,
fangkoy,a box for storing clothes (from Amoy dialect),放衣服的箱子(引自閩南語),,,,
fangsis,sweet * fragrant smelling,馨香，馥郁,,,,sapafangsis
fangta,mosquito net,蚊帳,,,,
,boat sail,船帆,,,,
,window screen,紗窗,,,,
fangto,the smell of a wet dog,發霉的味道，濕狗的臭味,,,,
faniw,mushrooms,菇，草菇，蘑菇,,,,
faniyot,a tiny island left in the midle,留在中間的小部份,,,,
,as a splotch,污痕，污漬,,,,
,brush left behind,未刷的部分,,,,
,uncut grain in a field that is harvested,割稻時留在田地中未割的一小部分,,,,
,a spot missed when painting,畫畫時未著色的一小點,,,,
fanoh,fur of animals,動物的毛,,,,"safanohan, cifanoh"
fanohong,the smell of salted meat,醃肉的香味,,,,
fanol,dove * pigeon Ashy Wood Pigeon,鴿子，灰林鴿,,,,topi
fao,generic term for all of living things,蟲類的總稱,,,,
,insects * worms,昆蟲,,,,
farasi',to sprinkle ritually,用口噴洒之儀式,,,,
,to fish when fish are flooded by heavy rains,下大雨後促成洪水或水災,,,,farsi'
farasiw,to cut grass along the edge of a field,砍田埂上的草,,,,
farawafaw,mild weather,溫和的天氣,,,,"kafarawfawan, pafantangan, kalalood"
fariw,to cut brush * to make a clearing in the wilderness,砍曠野的灌木或叢林(開墾的第一道工作),,,,
faroro,a back pack for carrying food gathered,籐製的籃筐，背簍，放食物的簍筐,,,,takoyodan
farsi',to sprinkle ritually,用口噴水之意,,,,
,to fish when fish are flooded by heavy rains,下大雨導致洪水或水災,,,,farasi'
farsiw,to throw a stick or something similar at someone or something,擲東西，扔東西,,,,
fasal,intestinal worms,蛔蟲,,,,
fasaw,cooled off,冷却,Mafasaw ko hemay.,The rice is cold.,冷飯，飯是冷的，飯已冷卻,
,,,Mafasawto ko keter ako.,My anger is cooled off.,我的氣已消了,
,,,Mafasawto ko faloco' ako to saki ngraan.,My heart has grown cool towards him.,我對他已沒有指望了，我對他沒有信心了,
fasfas,to splash water out of a container * to sprinkle,灑水,,,,
fasiyaw,to make a breeze * as a fast moving car,車快速通過所引起的微風,,,,
,kite,風箏,,,,
fasolan,a reed mat used to lay grain or other food on outdoors for drying,藤製品用來晒穀子或其他物品，草蓆,,,,
fata'an,name of a tree,樹名,,,,
,lentils * fruit of the tree used to make bean curd,黃豆，可以用來做豆 漿,,,,
,name of an Amis clan and village,花蓮縣光復部落名,,,,
