source_s_id	output_s_ids	status	reason
S215_1	S215_1	included	source_record_preserved
S214_1	S214_1	included	source_record_preserved
S213_1	S213_1	included	source_record_preserved
S212_1	S212_1	included	source_record_preserved
S211_1	S211_1	included	source_record_preserved
S210_1	S210_1	included	source_record_preserved
S209_1	S209_1	included	source_record_preserved
S208_1	S208_1	included	source_record_preserved
S207_1	S207_1	included	source_record_preserved
S206_1	S206_1	included	source_record_preserved
S205_1	S205_1	included	source_record_preserved
S204_1	S204_1	included	source_record_preserved
S203_1	S203_1	included	source_record_preserved
S202_1	S202_1	included	source_record_preserved
S201_1	S201_1	included	source_record_preserved
S200_1	S200_1	included	source_record_preserved
S199_1	S199_1	included	source_record_preserved
S198_1	S198_1	included	source_record_preserved
S196_1	S196_1	included	source_record_preserved
S195_1	S195_1	included	source_record_preserved
S194_1	S194_1	included	source_record_preserved
S193_1	S193_1	included	source_record_preserved
S192_1	S192_1	included	source_record_preserved
S191_1	S191_1	included	source_record_preserved
S190_1	S190_1	included	source_record_preserved
S189_1	S189_1	included	source_record_preserved
S188_1	S188_1	included	source_record_preserved
S187_1	S187_1	included	source_record_preserved
S186_1	S186_1	included	source_record_preserved
S185_1	S185_1	included	source_record_preserved
S184_1	S184_1	included	source_record_preserved
Sunknown_1	Sunknown_1	included	source_record_preserved
S182_1	S182_1	included	source_record_preserved
S181_1	S181_1	included	source_record_preserved
S180_1	S180_1	included	source_record_preserved
S179_1	S179_1	included	source_record_preserved
S178_1	S178_1	included	source_record_preserved
S177_1	S177_1	included	source_record_preserved
S176_1	S176_1	included	source_record_preserved
S175_1	S175_1	included	source_record_preserved
S174_1	S174_1	included	source_record_preserved
S173_1	S173_1	included	source_record_preserved
S172_1	S172_1	included	source_record_preserved
S171_1	S171_1	included	source_record_preserved
S170_1	S170_1	included	source_record_preserved
S169_1	S169_1	included	source_record_preserved
S168_1	S168_1	included	source_record_preserved
S167_1	S167_1	included	source_record_preserved
S166_1	S166_1	included	source_record_preserved
S165_1	S165_1	included	source_record_preserved
S164_1	S164_1	included	source_record_preserved
S163_1	S163_1	included	source_record_preserved
S162_1	S162_1	included	source_record_preserved
S161_1	S161_1	included	source_record_preserved
S160_1	S160_1	included	source_record_preserved
S159_1	S159_1	included	source_record_preserved
S158_1	S158_1	included	source_record_preserved
S157_1	S157_1	included	source_record_preserved
S156_1	S156_1	included	source_record_preserved
S155_1	S155_1	included	source_record_preserved
S154_1	S154_1	included	source_record_preserved
S153_1	S153_1	included	source_record_preserved
S152_1	S152_1	included	source_record_preserved
S151_1	S151_1	included	source_record_preserved
S150_1	S150_1	included	source_record_preserved
S149_1	S149_1	included	source_record_preserved
S148_1	S148_1	included	source_record_preserved
S147_1	S147_1	included	source_record_preserved
S146_1	S146_1	included	source_record_preserved
S145_1	S145_1	included	source_record_preserved
S144_1	S144_1	included	source_record_preserved
S143_1	S143_1	included	source_record_preserved
S142_1	S142_1	included	source_record_preserved
S141_1	S141_1	included	source_record_preserved
S140_1	S140_1	included	source_record_preserved
S139_1	S139_1	included	source_record_preserved
S138_1	S138_1	included	source_record_preserved
S137_1	S137_1	included	source_record_preserved
S136_1	S136_1	included	source_record_preserved
S135_1	S135_1	included	source_record_preserved
S134_1	S134_1	included	source_record_preserved
S133_1	S133_1	included	source_record_preserved
S132_1	S132_1	included	source_record_preserved
S131_1	S131_1	included	source_record_preserved
S130_1	S130_1	included	source_record_preserved
S129_1	S129_1	included	source_record_preserved
S128_1	S128_1	included	source_record_preserved
S127_1	S127_1	included	source_record_preserved
S126_1	S126_1	included	source_record_preserved
S125_1	S125_1	included	source_record_preserved
S124_1	S124_1	included	source_record_preserved
S123_1	S123_1	included	source_record_preserved
S122_1	S122_1	included	source_record_preserved
S121_1	S121_1	included	source_record_preserved
S120_1	S120_1	included	source_record_preserved
S119_1	S119_1	included	source_record_preserved
S118_1	S118_1	included	source_record_preserved
S117_1	S117_1	included	source_record_preserved
S116_1	S116_1	included	source_record_preserved
S115_1	S115_1	included	source_record_preserved
S114_1	S114_1	included	source_record_preserved
S113_1	S113_1	included	source_record_preserved
S112_1	S112_1	included	source_record_preserved
S111_1	S111_1	included	source_record_preserved
S110_1	S110_1	included	source_record_preserved
S109_1	S109_1	included	source_record_preserved
S108_1	S108_1	included	source_record_preserved
S107_1	S107_1	included	source_record_preserved
S106_1	S106_1	included	source_record_preserved
S105_1	S105_1	included	source_record_preserved
S104_1	S104_1	included	source_record_preserved
S103_1	S103_1	included	source_record_preserved
S102_1	S102_1	included	source_record_preserved
S101_1	S101_1	included	source_record_preserved
S100_1	S100_1	included	source_record_preserved
S99_1	S99_1	included	source_record_preserved
S98_1	S98_1	included	source_record_preserved
