level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	69	0	0	2	254.91	343.96	20.07	10.25	100	sterre
3	1	70	0	0	0	288.599991	343.963488	39.643533	10.247634	-1	###FLOW###
4	1	70	0	0	0	288.599991	343.963488	39.643533	10.247634	-1	###LINE###
5	1	70	0	0	0	288.60	343.96	39.64	10.25	100	Magmoudo
3	1	71	0	0	0	370.559990	343.963488	41.626288	10.247634	-1	###FLOW###
4	1	71	0	0	0	370.559990	343.963488	41.626288	10.247634	-1	###LINE###
5	1	71	0	0	0	370.56	343.96	11.36	10.25	100	the
5	1	71	0	0	1	383.82	343.96	28.37	10.25	100	Pleiades
3	1	72	0	0	0	453.599991	343.963488	3.796664	10.247634	-1	###FLOW###
4	1	72	0	0	0	453.599991	343.963488	3.796664	10.247634	-1	###LINE###
5	1	72	0	0	0	453.60	343.96	3.80	10.25	100	y
3	1	73	0	0	0	74.879997	366.283495	42.470655	10.247634	-1	###FLOW###
4	1	73	0	0	0	74.879997	366.283495	42.470655	10.247634	-1	###LINE###
5	1	73	0	0	0	74.88	366.28	42.47	10.25	100	Massitavach
3	1	74	0	0	0	147.240005	366.283495	48.632983	10.247634	-1	###FLOW###
4	1	74	0	0	0	147.240005	366.283495	48.632983	10.247634	-1	###LINE###
5	1	74	0	0	0	147.24	366.28	23.36	10.25	100	Cingul:
5	1	74	0	0	1	172.50	366.28	23.37	10.25	100	orionis
3	1	75	0	0	0	222.480011	366.283495	48.632983	10.247634	-1	###FLOW###
4	1	75	0	0	0	222.480011	366.283495	48.632983	10.247634	-1	###LINE###
5	1	75	0	0	0	222.48	366.28	23.36	10.25	100	Cingul:
5	1	75	0	0	1	247.74	366.28	23.37	10.25	100	orionis
3	1	76	0	0	0	288.599991	366.283495	42.470655	10.247634	-1	###FLOW###
4	1	76	0	0	0	288.599991	366.283495	42.470655	10.247634	-1	###LINE###
5	1	76	0	0	0	288.60	366.28	42.47	10.25	100	Massitavach
3	1	77	0	0	0	370.559990	366.283495	39.664761	10.247634	-1	###FLOW###
4	1	77	0	0	0	370.559990	366.283495	39.664761	10.247634	-1	###LINE###
5	1	77	0	0	0	370.56	366.28	24.33	10.25	100	Orion's
5	1	77	0	0	1	396.69	366.28	13.53	10.25	100	Belt
3	1	78	0	0	0	453.599991	366.283495	3.796664	10.247634	-1	###FLOW###
4	1	78	0	0	0	453.599991	366.283495	3.796664	10.247634	-1	###LINE###
5	1	78	0	0	0	453.60	366.28	3.80	10.25	100	y
3	1	79	0	0	0	74.879997	388.603480	45.990293	10.247634	-1	###FLOW###
4	1	79	0	0	0	74.879997	388.603480	45.990293	10.247634	-1	###LINE###
5	1	79	0	0	0	74.88	388.60	45.99	10.25	100	Natagouamal
