xml_path,validator_rule,action,element_tag,xml_id,field_tag,field_kind,before_sha256,after_sha256
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_52_W3,FORM,,0edb41cafdbfac8124323c1336adc95b06922fec34b5f4f05cfc1ece7e73dae4,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_53_W3,FORM,,f350a5a31f36170916e125ee484f1264cb47fd97bf03d89c71f4140be32486a8,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_63_W3,FORM,,22d2b9b6de60daa26b45da6b408b2bad010d7d5c4d0eef282fee6c632fd799a1,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_75_W3,FORM,,a835184a437815dc54e0f0427073aab74d9b1ef11dec2d11348ce1eb8de583f7,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,5_S_34_W3,FORM,,5dfd9974ee6e303074b68ca9a40d43b9aebd2720795ed2344ce7ae00ad594bcb,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200528-FW-Ludwig_S_23_W0,FORM,,1f77cad079ec0e2722dae14016de1afc010a78171e9810aa072b289061cbcaac,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200530-FW-Lixing-1_S_19_W3,FORM,,69ea060ec0527b4319f05544b90a48f3bdc9fbc8ae13d822f3536f328b1e31dc,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200529-FW-Ryan_S_6_W5,FORM,,268155e7a0786397414ec722538e427b869bfa905a1ae2368775a3da9b762f29,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200508-CL-7_S_19_W2,FORM,,4a89fcf5fa3905b4491d526d98ce41920e883f2935cf6c162853da1d8a1881b3,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200528-FW-Ryan_S_19_W3,FORM,,8021cf7fcf2b48aa417e4e19bb830a20c821d87a2c6d6f07e8dec09dc74bec2f,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200529-FW-Lixing-1_S_17_W0,FORM,,c09ad383fd057a7fb461d336f6e4d9540b4acb9ca266af6abb0c03fc3f469840,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200529-FW-Lixing-1_S_23_W1,FORM,,c265fc10f6716950fdb0d6d5880fe0bb519fe3cc3d308968fcb20812ae01bbd3,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200531-FW-Lixing_S_19_W4,FORM,,1f411a9c37d99f489accd81561a09859ec635dc84d04c2f3db36f48ead77c852,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200429-CL-6_S_19_W5,FORM,,a302978e8ad07ceb7dbf9d73f4bd4b2e57e9441890a57e9a1504e6980bc56ebb,
Sentences/Rukai/Rukai.xml,V121,remove_annotated_lexical_unit,W,20200429-CL-6_S_19_W7,FORM,,f3b44bbf804865214c039f69af9b785b4cde4ee066370e1bc90a03bca1370a46,
Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Laniahu_S_21_W0,FORM,,fc055931a91f4aac70954943cc83c676e0119d81b2da764ff3313935723eb724,
Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Laniahu_S_21_W1,FORM,,4619570964e701efc26de8e748431b550a6caa7a65712a2ed761fb000a8b114d,
Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Laniahu_S_26_W3,FORM,,377c580d669674bd2b27a0fb779d04341c7e4d3c43bc71c82eb74a776f74296b,
