file,level,id,form_original,eng_gloss,zho_gloss,category
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,M,kkvNr-fishing_Muu_S_107_W1M4,mia,1EPL.屬格,1EPL.屬格,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_sowing_Paicu.xml,M,kkvNr_sowing_Paicu_S_1_W4M1,<um>,<AF>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_sowing_Paicu.xml,M,kkvNr_sowing_Paicu_S_37_W5M2,<ti>,<RED>,<ti>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,W,kkvNr_fishing_Pani_S_1_W2,PARI-fish,PARI-魚,捕魚,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,W,kkvNr_fishing_Pani_S_3_W4,ifweto,我們若要,如果-要=我們,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,M,kkvNr_fishing_Pani_S_3_W4M1,ifweto,我們若要,如果,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,W,kkvNr_fishing_Pani_S_3_W5,make-Ca-house,做-Ca重疊-房子,蓋房子,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,M,kkvNr_fishing_Pani_S_3_W5M1,make,做,蓋房子(需花一段時間),eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,W,kkvNr_fishing_Pani_S_3_W6,make-cabin,做-寮屋,蓋寮屋,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_fishing_Pani.xml,M,kkvNr_fishing_Pani_S_3_W6M1,make,做,蓋寮屋,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_family_Paicu.xml,W,kkvNr_family_Paicu_S_15_W1,ka'-anvuana,live-瑪雅里,住-瑪雅里,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_family_Paicu.xml,M,kkvNr_family_Paicu_S_15_W1M2,anvuana,瑪雅里,瑪雅里,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_frog_Uva.xml,W,kkvNr_frog_Uva_S_17_W8,po-kari-kari,say-RED-話語.AF,說-重疊-話語.主焦,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_frog_Uva.xml,M,kkvNr_frog_Uva_S_17_W8M3,kari,話語.AF,話語.主焦,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_hunting1_Muu.xml,W,kkvNr_hunting1_Muu_S_19_W17,k<um>a-kʉn,K<主焦>A-eat,K<主焦>A-吃,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_hunting1_Muu.xml,M,kkvNr_hunting1_Muu_S_19_W17M1,<um>,<主焦>,<主焦>,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr-frogstory_angai.xml,W,kkvNr-frogstory_angai_S_57_W6,ni-AF-m-a'acun,PFV-AF-drift.away,過去-主焦-漂走,gloss code embedded in wordform
Stories/Kanakanavu/Kanakanavu_kkvNr-frogstory_angai.xml,M,kkvNr-frogstory_angai_S_57_W6M2,AF,AF,主焦,wordform is a bare gloss code
Stories/Kanakanavu/Kanakanavu_kkvNr_domestic_troubles_Muu.xml,M,kkvNr_domestic_troubles_Muu_S_22_W2M1,<um>,<AV>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_domestic_troubles_Muu.xml,W,kkvNr_domestic_troubles_Muu_S_83_W4,te=ci=kiei,IRR=COS=疑惑,非實現=COS=疑惑,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_domestic_troubles_Muu.xml,M,kkvNr_domestic_troubles_Muu_S_83_W4M3,kiei,疑惑,疑惑,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_farming_Muu.xml,M,kkvNr_farming_Muu_S_20_W5M1,<um>,<AF>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_millet_Muu.xml,M,kkvNr_millet_Muu_S_69_W0M1,<um>,<AF>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_millet_Muu.xml,M,kkvNr_millet_Muu_S_76_W7M1,<um>,<AV>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr_millet_Muu.xml,W,kkvNr_millet_Muu_S_86_W6,cʉpʉng-a=ku,heart-REL-1SG.主格,想-關係詞-1SG.NOM,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr_millet_Muu.xml,M,kkvNr_millet_Muu_S_88_W4M1,'e,PROG,esi,english-only glossing in source (no zh available)
Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,W,SaiNr-election_lahi_ a taro_ babay_S_28_W8,a,FIL,pil,english-only glossing in source (no zh available)
Stories/Saisiyat/Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,M,SaiNr-election_lahi_ a taro_ babay_S_28_W8M1,a,FIL,pil,english-only glossing in source (no zh available)
Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,W,SaiNr-frog5__awi_ a basi__S_23_W2,ta-kiim,exhort-find,exhort-go,english-only glossing in source (no zh available)
Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,M,SaiNr-frog5__awi_ a basi__S_23_W2M2,kiim,find,go,english-only glossing in source (no zh available)
Stories/Saisiyat/Saisiyat_SaiNr-Molaw.xml,W,SaiNr-Molaw_S_17_W6,koSa,say.主焦,說.主焦,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Saisiyat/Saisiyat_SaiNr-Molaw.xml,M,SaiNr-Molaw_S_17_W6M1,koSa,say.主焦,說.主焦,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,W,SaiNr-holiday_kalaeh a _oemaw_S_1_W2,say-walo',LOC-東河,處格-東河,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,M,SaiNr-holiday_kalaeh a _oemaw_S_1_W2M2,walo',東河,東河,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Saisiyat/Saisiyat_SaiNr-frog3_'oemaw_a_basi'.xml,W,SaiNr-frog3_'oemaw_a_basi'_S_57_W5,rima',AF.去,主焦.去,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
