rule_id,file,s_id,character,position
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Knklaan_gaya_hengak.xml,0,ˈ,53
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Bnrahan_Snlmean_(Knklaan_krkari).xml,0,*,174
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Mayl’ux.xml,0,*,592
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Joseph_Kabila.xml,0,ˈ,267
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Canada.xml,0,ˈ,608
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Qatar.xml,0,ˈ,628
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Somalia.xml,0,ˈ,635
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/South_Africa.xml,0,ˈ,675
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/South_Africa.xml,0,ˈ,689
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/South_Africa.xml,0,ˈ,805
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Knklaan_tmkari_biciq.xml,0,ˈ,57
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Portugal.xml,0,ˈ,678
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/San_Marino.xml,0,ˈ,677
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/San_Marino.xml,0,ˈ,698
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Bahrain.xml,0,ˈ,672
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Bangladesh.xml,0,ˈ,723
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Sergio_Mattarella.xml,0,ˈ,315
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Sergio_Mattarella.xml,0,ˈ,328
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄅ,776
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄇ,777
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄉ,778
